month,bidding_no,vehicle_class,premium
2015-12,1,Real Estate,56989
2015-12,1,Commercial,60001
2015-12,1,Unsecured,48101
2015-12,1,Auto,6501
2015-12,1,Other,60003
2015-12,2,Real Estate,54301
2015-12,2,Commercial,55001
2015-12,2,Unsecured,46001
2015-12,2,Auto,6600
2015-12,2,Other,57501
2016-01,1,Real Estate,45002
2016-01,1,Commercial,54920
2016-01,1,Unsecured,42036
2016-01,1,Auto,6889
2016-01,1,Other,55089
2016-01,2,Real Estate,51301
2016-01,2,Commercial,50089
2016-01,2,Unsecured,46502
2016-01,2,Auto,6512
2016-01,2,Other,51000
2016-02,1,Real Estate,46651
2016-02,1,Commercial,38610
2016-02,1,Unsecured,45036
2016-02,1,Auto,6503
2016-02,1,Other,44001
2016-02,2,Real Estate,43000
2016-02,2,Commercial,46970
2016-02,2,Unsecured,45001
2016-02,2,Auto,6353
2016-02,2,Other,45009
2016-03,1,Real Estate,45000
2016-03,1,Commercial,47604
2016-03,1,Unsecured,48890
2016-03,1,Auto,6503
2016-03,1,Other,48002
2016-03,2,Real Estate,45504
2016-03,2,Commercial,46502
2016-03,2,Unsecured,46502
2016-03,2,Auto,6589
2016-03,2,Other,46667
2016-04,1,Real Estate,46009
2016-04,1,Commercial,47000
2016-04,1,Unsecured,44213
2016-04,1,Auto,6503
2016-04,1,Other,47510
2016-04,2,Real Estate,47300
2016-04,2,Commercial,49602
2016-04,2,Unsecured,43002
2016-04,2,Auto,6501
2016-04,2,Other,49501
2016-05,1,Real Estate,47889
2016-05,1,Commercial,51010
2016-05,1,Unsecured,42302
2016-05,1,Auto,6302
2016-05,1,Other,49000
2016-05,2,Real Estate,47020
2016-05,2,Commercial,49156
2016-05,2,Unsecured,43002
2016-05,2,Auto,6303
2016-05,2,Other,49700
2016-06,1,Real Estate,53694
2016-06,1,Commercial,56000
2016-06,1,Unsecured,46434
2016-06,1,Auto,6302
2016-06,1,Other,55100
2016-06,2,Real Estate,55200
2016-06,2,Commercial,57010
2016-06,2,Unsecured,48002
2016-06,2,Auto,6303
2016-06,2,Other,57390
2016-07,1,Real Estate,52301
2016-07,1,Commercial,56089
2016-07,1,Unsecured,47889
2016-07,1,Auto,6012
2016-07,1,Other,56002
2016-07,2,Real Estate,53000
2016-07,2,Commercial,57508
2016-07,2,Unsecured,49890
2016-07,2,Auto,6302
2016-07,2,Other,57501
2016-08,1,Real Estate,52503
2016-08,1,Commercial,57903
2016-08,1,Unsecured,48302
2016-08,1,Auto,6206
2016-08,1,Other,58201
2016-08,2,Real Estate,53334
2016-08,2,Commercial,56500
2016-08,2,Unsecured,48001
2016-08,2,Auto,6352
2016-08,2,Other,56956
2016-09,1,Real Estate,51506
2016-09,1,Commercial,57002
2016-09,1,Unsecured,49801
2016-09,1,Auto,6452
2016-09,1,Other,56889
2016-09,2,Real Estate,50000
2016-09,2,Commercial,55501
2016-09,2,Unsecured,49890
2016-09,2,Auto,6501
2016-09,2,Other,55201
2016-10,1,Real Estate,51507
2016-10,1,Commercial,53001
2016-10,1,Unsecured,48702
2016-10,1,Auto,6353
2016-10,1,Other,54200
2016-10,2,Real Estate,50991
2016-10,2,Commercial,56410
2016-10,2,Unsecured,45589
2016-10,2,Auto,6354
2016-10,2,Other,56340
2016-11,1,Real Estate,52668
2016-11,1,Commercial,56206
2016-11,1,Unsecured,48001
2016-11,1,Auto,6311
2016-11,1,Other,56000
2016-11,2,Real Estate,50951
2016-11,2,Commercial,53001
2016-11,2,Unsecured,49002
2016-11,2,Auto,6212
2016-11,2,Other,54901
2016-12,1,Real Estate,48000
2016-12,1,Commercial,46229
2016-12,1,Unsecured,51209
2016-12,1,Auto,6113
2016-12,1,Other,50010
2016-12,2,Real Estate,49751
2016-12,2,Commercial,51109
2016-12,2,Unsecured,49500
2016-12,2,Auto,6101
2016-12,2,Other,50389
2017-01,1,Real Estate,50101
2017-01,1,Commercial,53106
2017-01,1,Unsecured,46302
2017-01,1,Auto,6053
2017-01,1,Other,53001
2017-01,2,Real Estate,50889
2017-01,2,Commercial,52807
2017-01,2,Unsecured,47001
2017-01,2,Auto,6052
2017-01,2,Other,52600
2017-02,1,Real Estate,48401
2017-02,1,Commercial,48209
2017-02,1,Unsecured,48901
2017-02,1,Auto,6412
2017-02,1,Other,48556
2017-02,2,Real Estate,49430
2017-02,2,Commercial,50621
2017-02,2,Unsecured,49810
2017-02,2,Auto,6801
2017-02,2,Other,51000
2017-03,1,Real Estate,50789
2017-03,1,Commercial,53300
2017-03,1,Unsecured,49002
2017-03,1,Auto,7483
2017-03,1,Other,53001
2017-03,2,Real Estate,51765
2017-03,2,Commercial,54000
2017-03,2,Unsecured,47036
2017-03,2,Auto,8081
2017-03,2,Other,54501
2017-04,1,Real Estate,52000
2017-04,1,Commercial,54405
2017-04,1,Unsecured,45906
2017-04,1,Auto,7589
2017-04,1,Other,54556
2017-04,2,Real Estate,51600
2017-04,2,Commercial,54406
2017-04,2,Unsecured,26501
2017-04,2,Auto,6712
2017-04,2,Other,54616
2017-05,1,Real Estate,51106
2017-05,1,Commercial,55414
2017-05,1,Unsecured,26029
2017-05,1,Auto,6301
2017-05,1,Other,55000
2017-05,2,Real Estate,46489
2017-05,2,Commercial,53001
2017-05,2,Unsecured,30600
2017-05,2,Auto,6101
2017-05,2,Other,52000
2017-06,1,Real Estate,45201
2017-06,1,Commercial,50110
2017-06,1,Unsecured,38501
2017-06,1,Auto,6101
2017-06,1,Other,50526
2017-06,2,Real Estate,42801
2017-06,2,Commercial,47501
2017-06,2,Unsecured,36879
2017-06,2,Auto,6001
2017-06,2,Other,48001
2017-07,1,Real Estate,42801
2017-07,1,Commercial,49802
2017-07,1,Unsecured,40212
2017-07,1,Auto,6001
2017-07,1,Other,49899
2017-07,2,Real Estate,44002
2017-07,2,Commercial,50001
2017-07,2,Unsecured,42809
2017-07,2,Auto,5851
2017-07,2,Other,50101
2017-08,1,Real Estate,46778
2017-08,1,Commercial,53711
2017-08,1,Unsecured,42801
2017-08,1,Auto,5701
2017-08,1,Other,52751
2017-08,2,Real Estate,42900
2017-08,2,Commercial,51000
2017-08,2,Unsecured,42004
2017-08,2,Auto,3512
2017-08,2,Other,50000
2017-09,1,Real Estate,36001
2017-09,1,Commercial,49000
2017-09,1,Unsecured,43002
2017-09,1,Auto,5402
2017-09,1,Other,48005
2017-09,2,Real Estate,42902
2017-09,2,Commercial,49189
2017-09,2,Unsecured,46890
2017-09,2,Auto,5501
2017-09,2,Other,49012
2017-10,1,Real Estate,41761
2017-10,1,Commercial,48109
2017-10,1,Unsecured,48902
2017-10,1,Auto,5010
2017-10,1,Other,49000
2017-10,2,Real Estate,41617
2017-10,2,Commercial,49996
2017-10,2,Unsecured,51890
